id,hist-today,img_url,img_credits
drei-geruestkuben_1975,today,https://www.publics-arts.ch/files/large/541c61cfaaf77eb55599c2e50473dd66cfb274a2.jpg,"Christopher Kilchenmann, 2023"
drei-geruestkuben_1975,hist,https://www.publics-arts.ch/files/large/4359a4b78614272c2b9055af5f4cd06cbabc7a75.jpg,"Jeanne Chevalier, 1975"
drei-geruestkuben_1975,today,https://www.publics-arts.ch/files/large/9cabaa880f412fd0f35f092d4240c65e8b51912e.jpg,"Christopher Kilchenmann, 2023"
drei-geruestkuben_1975,hist,https://www.publics-arts.ch/files/large/063fe17528de330a7279ce04807c522a4187a14d.jpg,"Jeanne Chevalier, 1975"
drei-geruestkuben_1975,today,https://www.publics-arts.ch/files/large/ea72cd9b772ea702cb9e4ccbdefcd4506945c848.jpg,"Christopher Kilchenmann, 2023"
mann-und-weib_1995,today,https://www.publics-arts.ch/files/large/5e0afaec2cb2f7c8981a2dc642071cf4ec98020f.jpg,"© Rudolf Blättler, 2023"
mann-und-weib_1995,hist,https://www.publics-arts.ch/files/large/375e915e0246c373006caa5aeac565f4b7e7acde.jpg,"© Rudolf Blättler, 1996"
luftkubus_1986,today,https://www.publics-arts.ch/files/large/b4219758b7924bccc84e77cd391ea189a3f69d39.jpg,"Christoph Wyss, 2023"
luftkubus_1986,hist,https://www.publics-arts.ch/files/large/314282dc359723ac96632f68cbed5965deb2d9b4.jpg,"Jeanne Chevalier, 1986"
luftkubus_1986,today,https://www.publics-arts.ch/files/large/7649be7b13f2de5fb0a106dec195bbf39ac55fd9.jpg,"Christoph Wyss, 2023"
orion_1965,today,https://www.publics-arts.ch/files/large/e392f8bc2ada62a27a5d57d2cc286b1bc89cc415.jpg,"EinDao, 2021 (via Wikimedia Commons, CC BY-SA 3.0)"
orion_1965,hist,https://www.publics-arts.ch/files/large/0bbd0465da688ab1c149c5566b6b3a62a97de2e3.jpg,"Famille / Familie Ramseyer, 1966"
orion_1965,hist,https://www.publics-arts.ch/files/large/9dfebc21190f977edf9305664ad6239ca5e73795.jpg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
otok-2_1970,today,https://www.publics-arts.ch/files/large/ea0421d17a106a313ec497356c8ec144b8521b5c.jpg,"Adrian Michael, 2015 (via Wikimedia Commons, CC BY-SA 3.0)"
otok-2_1970,hist,https://www.publics-arts.ch/files/large/7633c837a4d5321a49bc0743b7976cdc70d497ff.jpg,"Heinz Baumann, 1970 © Bibliothèque ETH Zurich, Archives photographiques / ETH-Bibliothek Zürich, Bildarchiv"
dimension-unique_1975,today,https://www.publics-arts.ch/files/large/1b93bbe39c3b5ef457ea2cddc2992a3001ccfe8e.jpg,"Christopher Kilchenmann, 2023"
dimension-unique_1975,hist,https://www.publics-arts.ch/files/large/d4586d2832de6272fd6d01b61200372e24a0c1a9.jpg,"Archives / Archiv Märki-Travaglini, 1975"
dimension-unique_1975,today,https://www.publics-arts.ch/files/large/8200ae63ba5d85fd3da53a3e8d73a8425896fdde.jpg,"Christopher Kilchenmann, 2023"
dimension-unique_1975,hist,https://www.publics-arts.ch/files/large/531d68036353b142a798f455f69e7a83f3b2223a.jpg,"Archives / Archiv Märki-Travaglini, 1975"
dimension-unique_1975,today,https://www.publics-arts.ch/files/large/c40b10cf5c6d7706c83525822e928c76bb3c0982.jpg,"Christopher Kilchenmann, 2023"
enlace_1974,today,https://www.publics-arts.ch/files/large/4319b495f2687df7be4003dadd2eaa84caca4394.jpg,"Yvonne Schweizer, 2023"
enlace_1974,hist,https://www.publics-arts.ch/files/large/3d92f3a6a9cd2050eca92a0e936acfa492dd04f2.jpg,"Inconnu / Unbekannt, 1975, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
enlace_1974,today,https://www.publics-arts.ch/files/large/3b3465ac4999c42de1dadbfbc60e83b85cc25243.jpg,"Yvonne Schweizer, 2023"
equi-libre-–-stahlkonstruktion-xiix_1979,today,https://www.publics-arts.ch/files/large/23865160d6a16f491e79a068ef6f68c2b3ef7ddf.jpg,"Christopher Kilchenmann, 2023"
equi-libre-–-stahlkonstruktion-xiix_1979,hist,https://www.publics-arts.ch/files/large/3b23ad64930e2a2c159f5b439f52f3654a497525.jpg,"Jeanne Chevalier, 1980"
equi-libre-–-stahlkonstruktion-xiix_1979,today,https://www.publics-arts.ch/files/large/f2acd912fae54636e3f0b9a0696cc06271ddfc38.jpg,"Christopher Kilchenmann, 2023"
equi-libre-–-stahlkonstruktion-xiix_1979,hist,https://www.publics-arts.ch/files/large/3b14d081a829bb24c28355b8a853b99526e49ce6.jpg,"Inconnu / Unbekannt, 1980, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel"
