artist,title,id,year,expo,hist-today,img_url,img_credits,place_today,lat_today,lon_today,place_hist,lat_hist,lon_hist
,,harpe-animee_1961,1961–62,,today,https://www.publics-arts.ch/files/original/862ac9b4abc25f3bc04ed3bc85dd0497c532a8d2.jpeg,"Christopher Kilchenmann, 2023",,,,,,
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Farbige Baumruine,farbige-baumruine_1975,1975,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/398c850cc4f9a3a658aac34f7d7d395f63870ea7.jpeg,"Christopher Kilchenmann, 2023","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.1381336623771,7.26792222262247,"APP Bienne-Seeland / BVS Biel Seeland, Chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.1381336623771,7.26792222262247
,,farbige-baumruine_1975,1975,,hist,https://www.publics-arts.ch/files/original/4359a4b78614272c2b9055af5f4cd06cbabc7a75.jpeg,"Jeanne Chevalier, 1975",,,,,47.1381336623771,7.26792222262247
,,farbige-baumruine_1975,1975,,today,https://www.publics-arts.ch/files/original/4d5e5dbca9cf46c42657dd4387bcece40f31b3c4.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,farbige-baumruine_1975,1975,,today,https://www.publics-arts.ch/files/original/1fa8e13c688c00c8a8491b6c9f118d11313fc317.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,farbige-baumruine_1975,1975,,today,https://www.publics-arts.ch/files/original/3212e6086f18175e29957da4aaad3d635209e0cb.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,farbige-baumruine_1975,1975,,today,https://www.publics-arts.ch/files/original/bbd860f03a6fbcbf633b3a74ce83e84f44c257cf.jpg,"Cornelia Schnyder-Berner, 2019 (architekturbibliothek.ch)",,,,,,
Ueli Berger,Jura,jura_1979,1979–80,"ESS-SPA 7, 1980",today,https://www.publics-arts.ch/files/original/6871bca430310991fc906dbf738b1240f6eda59d.jpeg,"Christopher Kilchenmann, 2023","Gymnase Bienne-Seeland / Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.133015,7.235254,"Gymnase Bienne-Seeland / Gymnasium Biel-Seeland, rue du Débarcadère / Ländtestrasse 10, 2503 Bienne / Biel",47.133015,7.235254
,,jura_1979,1979–80,,hist,https://www.publics-arts.ch/files/original/09147d8d18355cdd54457c697cc4fd3980b158da.jpeg,"Jeanne Chevalier, 1980",,,,,47.133015,7.235254
,,jura_1979,1979–80,,today,https://www.publics-arts.ch/files/original/c38c53973d8a7ce059df26daa861d45d5d3737dd.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,jura_1979,1979–80,,today,https://www.publics-arts.ch/files/original/c38c53973d8a7ce059df26daa861d45d5d3737dd.jpeg,"M. Nussbaumer, 2006 (via Wikimedia Commons, CC BY-2.5)",,,,,,
Franz Pösinger,SOG,sog_1980,1980,"ESS-SPA 8, 1986",today,https://www.publics-arts.ch/files/original/363d8efb42b0fe356ab2c0f900f140a31ec7b176.jpeg,"Christopher Kilchenmann, 2023",détruit / zerstört 2021,47.1397673192808,7.2482557296098,"École Dufour / Dufour-Schulhaus, rue Général-Dufour / General-Dufour-Strasse 18, 2502 Bienne / Biel",47.1397673192808,7.2482557296098
,,sog_1980,1980,,hist,https://www.publics-arts.ch/files/original/2ee48578c9f367dd2312be08e75e8853534b4cc4.jpeg,"Jeanne Chevalier, 1986",,,,,47.1397673192808,7.2482557296098
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Beton-Messingkubus,beton-messingkubus_1975,1975,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/cf702a4a9b22e0d2d3d60457947fa03e54e8f4eb.jpeg,"Christopher Kilchenmann, 2023","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138058,7.267674,"APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138058,7.267674
,,beton-messingkubus_1975,1975,,hist,https://www.publics-arts.ch/files/original/4359a4b78614272c2b9055af5f4cd06cbabc7a75.jpeg,"Jeanne Chevalier, 1975",,,,,47.138058,7.267674
,,beton-messingkubus_1975,1975,,today,https://www.publics-arts.ch/files/original/ff60f1b6721c33698daf9c749408f0fbc4d7950d.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,beton-messingkubus_1975,1975,,hist,https://www.publics-arts.ch/files/original/063fe17528de330a7279ce04807c522a4187a14d.jpeg,"Jeanne Chevalier, 1975",,,,,,
"Berner Arbeitsgemeinschaft (Eggenschwiler, Vetter, Wälti, Kunz)",Drei Gerüstkuben,drei-geruestkuben_1975,1975,"ESS-SPA 6, 1975",today,https://www.publics-arts.ch/files/original/541c61cfaaf77eb55599c2e50473dd66cfb274a2.jpeg,"Christopher Kilchenmann, 2023","APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138195,7.267571,"APP Bienne-Seeland / BVS Biel Seeland, chemin de la Ciblerie / Scheibenweg 45, 2503 Bienne / Biel",47.138195,7.267571
,,drei-geruestkuben_1975,1975,,hist,https://www.publics-arts.ch/files/original/4359a4b78614272c2b9055af5f4cd06cbabc7a75.jpeg,"Jeanne Chevalier, 1975",,,,,47.138195,7.267571
,,drei-geruestkuben_1975,1975,,today,https://www.publics-arts.ch/files/original/9cabaa880f412fd0f35f092d4240c65e8b51912e.jpeg,"Christopher Kilchenmann, 2023",,,,,,
,,drei-geruestkuben_1975,1975,,hist,https://www.publics-arts.ch/files/original/063fe17528de330a7279ce04807c522a4187a14d.jpeg,"Jeanne Chevalier, 1975",,,,,,
,,drei-geruestkuben_1975,1975,,today,https://www.publics-arts.ch/files/original/ea72cd9b772ea702cb9e4ccbdefcd4506945c848.jpeg,"Christopher Kilchenmann, 2023",,,,,,
Rudolf Blättler,Mann und Weib,mann-und-weib_1995,1995,ESS-SPA 1997,today,https://www.publics-arts.ch/files/original/5e0afaec2cb2f7c8981a2dc642071cf4ec98020f.png,"© Rudolf Blättler, 2023","Kehrsiten village au Bürgenstock / Kehrsiten Dorf am Bürgenstock, 6365 Stansstad",46.999999,8.366996,"Escalier sur la place de l'église [prévu] / Treppe am Kirchplatz [geplant], 2502 Bienne / Biel",47.141411,7.24687
,,mann-und-weib_1995,1995,,hist,https://www.publics-arts.ch/files/original/375e915e0246c373006caa5aeac565f4b7e7acde.png,"© Rudolf Blättler, 1996",,,,,47.141411,7.24687
Matias Spescha,Luftkubus,luftkubus_1986,1986,"ESS-SPA 8, 1986",today,https://www.publics-arts.ch/files/original/b4219758b7924bccc84e77cd391ea189a3f69d39.jpeg,"Christoph Wyss, 2023","Parc des sculptures Ennetbürgen / SPE Skulpturenpark, Scheidgrabenweg, 6374 Buochs",46.98027,8.410913,"École Dufour / Dufour-Schulhaus, rue Général-Dufour / General-Dufour-Strasse 18, 2502 Bienne / Biel",47.139572,7.248111
,,luftkubus_1986,1986,,hist,https://www.publics-arts.ch/files/original/314282dc359723ac96632f68cbed5965deb2d9b4.jpeg,"Jeanne Chevalier, 1986",,,,,47.139572,7.248111
,,luftkubus_1986,1986,,today,https://www.publics-arts.ch/files/original/7649be7b13f2de5fb0a106dec195bbf39ac55fd9.jpeg,"Christoph Wyss, 2023",,,,,,
André Ramseyer,Orion,orion_1965,1965,"ESS-SPA 4, 1966",today,https://www.publics-arts.ch/files/original/e392f8bc2ada62a27a5d57d2cc286b1bc89cc415.jpg,"EinDao, 2021 (via Wikimedia Commons, CC BY-SA 3.0)","Parc du Musée d'Art de Soleure / Park des Kunstmuseums Solothurn, 4500 Soleure / Solothurn",47.210136,7.537941,"A côté du Palais de Congrès / Neben dem Kongresshaus, rue Centrale / Zentralstrasse 60, 2501 Bienne / Biel",47.13458,7.24777
,,orion_1965,1965,,hist,https://www.publics-arts.ch/files/original/0bbd0465da688ab1c149c5566b6b3a62a97de2e3.jpg,"Famille / Familie Ramseyer, 1966",,,,,47.13458,7.24777
,,orion_1965,1965,,hist,https://www.publics-arts.ch/files/original/9dfebc21190f977edf9305664ad6239ca5e73795.jpeg,"Inconnu / Unbekannt, 1966, Collection des arts visuels de la Ville de Bienne / Kunstsammlung der Stadt Biel",,,,,,
